Code du département,Code de la circonscription,GAUCHE,MACRON,DROITE,RN,EXG,EXD
1,1,14188,7063,14495,23819,0,511
1,2,16981,17414,6737,0,734,1863
1,3,13497,0,3663,17252,455,769
1,4,0,14367,7179,30221,705,0
1,5,12542,6036,11274,20161,606,429
2,1,0,10380,0,24774,701,644
2,2,6511,0,0,21496,819,561
2,3,15385,0,0,0,763,24742
2,4,0,10448,0,25913,832,553
2,5,10272,10811,2665,0,721,0
3,1,17043,8811,9192,22816,636,0
3,2,12482,6524,13752,0,802,511
3,3,10935,0,0,20270,923,0
4,1,11457,8132,2956,18616,396,468
4,2,14774,10162,0,18314,438,585
5,1,12568,9312,2950,0,643,0
5,2,12661,10338,0,13115,0,0
6,1,1427,11558,2933,20809,313,0
6,2,2296,9856,6162,28676,381,931
6,3,17863,14670,0,23983,0,883
6,4,11151,12116,0,0,454,0
6,5,14109,0,0,29804,436,0
6,6,10208,0,16213,27705,0,0
6,7,12625,11510,16389,0,264,932
6,8,8787,6508,15284,0,181,0
6,9,11729,0,18334,0,294,900
7,1,20809,6651,3067,21736,992,506
7,2,17051,11904,10509,24417,609,777
7,3,16239,5984,15194,18328,482,479
8,1,9083,12157,1782,17817,0,4257
8,2,6688,3467,11147,15097,308,0
8,3,4139,0,15362,15296,0,0
9,1,19245,0,0,0,2756,881
9,2,19911,0,0,16678,1852,804
10,1,6019,7898,4921,0,570,0
10,2,0,4703,13902,22316,603,0
10,3,970,6994,5156,18084,349,0
11,1,20938,465,4,32916,327,823
11,2,15795,0,654,29212,418,969
11,3,20426,8155,3964,27946,0,681
12,1,0,24349,811,17586,418,0
12,2,15738,14690,0,0,595,1141
12,3,1066,16514,0,18044,607,0
13,1,0,12585,0,24276,402,1709
13,2,17587,15870,5100,18836,229,0
13,3,381,5417,2664,19938,664,937
13,4,27639,4370,830,5973,434,0
13,5,24842,8985,0,12938,264,598
13,6,14395,12578,2579,19151,250,866
13,7,21784,3186,0,0,319,481
13,8,15820,18563,3105,0,342,617
13,9,17657,12465,0,30188,319,979
13,10,18663,16619,2642,37672,314,1031
13,11,17374,16581,0,24524,382,1672
13,12,14746,8508,3456,33086,561,0
13,13,21147,7239,0,0,613,1810
13,14,21252,19853,3899,0,470,1462
13,15,15314,12202,0,37493,617,1414
13,16,18292,8900,3217,28179,505,0
14,1,0,0,22596,10458,510,604
14,2,19662,0,7159,11999,547,566
14,3,9959,19144,0,21575,732,1080
14,4,14247,23622,7847,24230,442,747
14,5,16124,16208,10655,21001,488,662
14,6,15376,24293,0,0,878,1778
15,1,9893,3377,0,13361,458,410
15,2,4919,3019,15731,11923,0,220
16,1,18166,0,2226,16761,818,633
16,2,11665,15091,4829,0,832,1246
